ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
101400800,Axe - Powerstance - R1 Combo #1 Right-hand,1400,800,1,0,[0|0],1400800,0,9,0,2,0,[0|0]
101400810,Axe - Powerstance - R1 Combo #2 Right-hand,1400,810,1,0,[0|0],1400810,0,9,0,2,0,[0|0]
101400820,Axe - Powerstance - R1 Combo #3 Right-hand,1400,820,1,0,[0|0],1400820,0,9,0,2,0,[0|0]
101400830,Axe - Powerstance - R1 Combo #4 Right-hand,1400,830,1,0,[0|0],1400830,0,9,0,2,0,[0|0]
101400860,Axe - Powerstance - R1 - Dash Right-hand,1400,860,1,0,[0|0],1400860,0,11,0,2,0,[0|0]
101400870,Axe - Powerstance - R1 - Roll Right-hand,1400,870,1,0,[0|0],1400870,0,11,0,2,0,[0|0]
101400880,Axe - Powerstance - R1 - Backstep Right-hand,1400,880,1,0,[0|0],1400880,0,11,0,2,0,[0|0]
101400890,Axe - Powerstance - R1 - Jump Right-hand,1400,890,1,0,[0|0],1400890,0,11,0,2,0,[0|0]
400000900,Maliketh's Black Blade,0,900,1,0,[0|0],300408900,0,18,0,12,0,[0|0]
400000901,Maliketh's Black Blade,0,901,1,0,[0|0],300408901,0,20,0,12,0,[0|0]
400000905,Maliketh's Black Blade,0,905,1,1,[0|0],2320,0,20,0,12,0,[0|0]
400000906,Maliketh's Black Blade,0,906,1,1,[0|0],2321,0,0,0,12,0,[0|0]
400000907,Maliketh's Black Blade,0,907,1,1,[0|0],2322,0,0,0,12,0,[0|0]
400000910,Maliketh's Black Blade,0,910,1,0,[0|0],300408910,0,18,0,12,0,[0|0]
400000911,Maliketh's Black Blade,0,911,1,0,[0|0],300408911,0,20,0,12,0,[0|0]
400000950,Winged Greathorn - [Ash of War] Soul Stifler - FP - Bullet,0,950,1,1,[0|0],2065,0,0,0,12,0,[0|0]
500000100,Sword of Night and Flame,0,100,1,0,[0|0],300214900,0,0,0,12,0,[0|0]
500000105,Sword of Night and Flame,0,105,1,1,[0|0],2215,0,45,0,12,0,[0|0]
500000106,Sword of Night and Flame,0,106,1,1,[0|0],2216,0,0,0,12,0,[0|0]
500000107,Sword of Night and Flame,0,107,1,1,[0|0],2217,0,0,0,12,0,[0|0]
500000108,Sword of Night and Flame,0,108,1,1,[0|0],2218,0,0,0,12,0,[0|0]
500000109,Sword of Night and Flame,0,109,1,1,[0|0],2219,0,0,0,12,0,[0|0]
500000110,Sword of Night and Flame,0,110,1,0,[0|0],300214910,0,25,0,12,0,[0|0]
500000120,Sword of Night and Flame,0,120,1,0,[0|0],300214920,0,45,0,12,0,[0|0]
500000125,Sword of Night and Flame,0,125,1,1,[0|0],2220,0,0,0,12,0,[0|0]
500000126,Sword of Night and Flame,0,126,1,1,[0|0],2221,0,0,0,12,0,[0|0]
500000130,Sword of Night and Flame,0,130,1,0,[0|0],300214930,0,25,0,12,0,[0|0]
500000200,Winged Scythe - [Ash of War] Angel's Wings - FP - Hit #1,0,200,1,0,[0|0],301906900,0,18,0,12,0,[0|0]
500000201,Winged Scythe - [Ash of War] Angel's Wings - FP - Hit #2,0,201,1,0,[0|0],301906901,0,21,0,12,0,[0|0]
500000202,Winged Scythe - [Ash of War] Angel's Wings - FP - Leap Hit,0,202,1,0,[0|0],301906902,0,0,0,12,0,[0|0]
500000205,Winged Scythe - [Ash of War] Angel's Wings - No FP - Hit #1,0,205,1,0,[0|0],301906905,0,18,0,12,0,[0|0]
500000206,Winged Scythe - [Ash of War] Angel's Wings - No FP - Hit #2,0,206,1,0,[0|0],301906906,0,21,0,12,0,[0|0]
500000250,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #1,0,250,1,1,[0|0],2385,0,0,0,12,0,[0|0]
500000251,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #2,0,251,1,1,[0|0],2386,0,0,0,12,0,[0|0]
500000252,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #3,0,252,1,1,[0|0],2387,0,40,0,12,0,[0|0]
500000253,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #4,0,253,1,1,[0|0],2388,0,0,0,12,0,[0|0]
500000254,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #5,0,254,1,1,[0|0],2389,0,0,0,12,0,[0|0]
500000255,Grafted Dragon - [Ash of War] Bear Witness! - FP - Bullet #6,0,255,1,1,[0|0],2390,0,0,0,12,0,[0|0]
500000256,Grafted Dragon - [Ash of War] Bear Witness!,0,256,1,1,[0|0],2391,0,0,0,12,0,[0|0]
500000260,Grafted Dragon - [Ash of War] Bear Witness! - No FP - Hit,0,260,1,0,[0|0],302106910,0,40,0,12,0,[0|0]
500000300,Envoy's Greathorn - [Ash of War] Great Oracular Bubble - FP - Bullet,0,300,1,1,[0|0],2695,0,10,0,12,0,[0|0]
500000301,Envoy's Greathorn - [Ash of War] Great Oracular Bubble,0,301,1,1,[0|0],2696,0,0,0,12,0,[0|0]
500000350,Commander's Standard - [Ash of War] Rallying Standard - FP - Bullet,0,350,1,1,[0|0],2710,0,10,0,12,0,[0|0]
500000400,Blasphemous Blade - [Ash of War] Taker's Flames - FP - Bullet #1,0,400,1,1,[0|0],2030,0,30,0,12,0,[0|0]
500000401,Blasphemous Blade - [Ash of War] Taker's Flames,0,401,1,1,[0|0],-1,0,0,0,12,0,[0|0]
500000402,Blasphemous Blade - [Ash of War] Taker's Flames,0,402,1,1,[0|0],-1,0,0,0,12,0,[0|0]
500000403,Blasphemous Blade - [Ash of War] Taker's Flames - FP - Bullet #2,0,403,1,1,[0|0],-1,0,0,0,12,0,[0|0]
500000404,Blasphemous Blade - [Ash of War] Taker's Flames,0,404,1,1,[0|0],-1,0,0,0,12,0,[0|0]
500000405,Blasphemous Blade - [Ash of War] Taker's Flames - No FP - Hit,0,405,1,0,[0|0],300314905,0,30,0,12,0,[0|0]
500000500,Moonveil - [Ash of War] Transient Moonlight - FP - Bullet,0,500,1,1,[0|0],2950,0,0,0,1,0,[0|0]
500000501,Moonveil - [Ash of War] Transient Moonlight - FP - Slash,0,501,1,0,[0|0],303400101,0,30,0,12,0,[0|0]
