ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,iconId,rank,sortGroupId,spEffectId0,spEffectId1,spEffectId2,itemGetTutorialFlagId,swordArtsParamId,mountValue,sellValue,saleValue,sortId,compTrophySedId,trophySeqId,configurableWepAttr00,configurableWepAttr01,configurableWepAttr02,configurableWepAttr03,configurableWepAttr04,configurableWepAttr05,configurableWepAttr06,configurableWepAttr07,configurableWepAttr08,configurableWepAttr09,configurableWepAttr10,configurableWepAttr11,configurableWepAttr12,configurableWepAttr13,configurableWepAttr14,configurableWepAttr15,rarity,configurableWepAttr16,configurableWepAttr17,configurableWepAttr18,configurableWepAttr19,configurableWepAttr20,configurableWepAttr21,configurableWepAttr22,configurableWepAttr23,isDiscard,isDrop,isDeposit,disableMultiDropShare,showDialogCondType,showLogCondType,pad,defaultWepAttr,isSpecialSwordArt,pad2,canMountWep_Dagger,canMountWep_SwordNormal,canMountWep_SwordLarge,canMountWep_SwordGigantic,canMountWep_SaberNormal,canMountWep_SaberLarge,canMountWep_katana,canMountWep_SwordDoubleEdge,canMountWep_SwordPierce,canMountWep_RapierHeavy,canMountWep_AxeNormal,canMountWep_AxeLarge,canMountWep_HammerNormal,canMountWep_HammerLarge,canMountWep_Flail,canMountWep_SpearNormal,canMountWep_SpearLarge,canMountWep_SpearHeavy,canMountWep_SpearAxe,canMountWep_Sickle,canMountWep_Knuckle,canMountWep_Claw,canMountWep_Whip,canMountWep_AxhammerLarge,canMountWep_BowSmall,canMountWep_BowNormal,canMountWep_BowLarge,canMountWep_ClossBow,canMountWep_Ballista,canMountWep_Staff,canMountWep_Sorcery,canMountWep_Talisman,canMountWep_ShieldSmall,canMountWep_ShieldNormal,canMountWep_ShieldLarge,canMountWep_Torch,canMountWep_HandToHand,canMountWep_PerfumeBottle,canMountWep_ThrustingShield,canMountWep_ThrowingWeapon,canMountWep_ReverseHandSword,canMountWep_LightGreatsword,canMountWep_GreatKatana,canMountWep_BeastClaw,reserved_canMountWep_0x3d_4,reserved2_canMountWep,spEffectMsgId0,spEffectMsgId1,spEffectId_forAtk0,spEffectId_forAtk1,spEffectId_forAtk2,mountWepTextId,pad6
86001,Destined Death,1,0,[0|0|0],10122,0,10,-1,-1,-1,710600,1038,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86002,Angel's Wings,1,0,[0|0|0],10726,0,10,-1,-1,-1,710600,1189,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86003,Great Oracular Bubble,1,0,[0|0|0],10883,0,10,-1,-1,-1,710600,1005,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86004,Night-and-Flame Stance,1,0,[0|0|0],10053,0,10,-1,-1,-1,710600,1019,0,300,0,350030,-1,-1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86005,Taker's Flames,1,0,[0|0|0],10094,0,10,-1,-1,-1,710600,1014,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86006,Transient Moonlight,1,0,[0|0|0],10326,0,10,-1,-1,-1,710600,1178,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86007,Bloodboon Ritual,1,0,[0|0|0],10641,0,10,-1,-1,-1,710600,1034,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86008,Cursed-Blood Slice,1,0,[0|0|0],10288,0,10,-1,-1,-1,710600,1027,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86010,Death Flare,1,0,[0|0|0],10250,0,10,-1,-1,-1,710600,1174,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
86011,Dynast's Finesse,1,0,[0|0|0],10200,0,10,-1,-1,-1,710600,1171,0,300,0,350030,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],-1,-1,-1,-1,-1,63042,[0|0|0|0|0|0|0|0]
